t_s,x
0.000000,-0.07053830
0.100000,-0.24237094
0.200000,0.03148971
0.300000,0.05743080
0.400000,-0.36946990
0.500000,-0.27003028
0.600000,-0.06480478
0.700000,-0.10915228
0.800000,-0.06839622
0.900000,-0.18446361
1.000000,0.04643930
1.100000,0.04657605
1.200000,-0.04250297
1.300000,0.11709661
1.400000,0.02490208
1.500000,-0.16735601
1.600000,0.00919708
1.700000,-0.18332246
1.800000,0.08263391
1.900000,-0.06386761
2.000000,-0.07052476
2.100000,-0.13317894
2.200000,0.14392518
2.300000,-0.07137836
2.400000,-0.12013527
2.500000,-0.09985445
2.600000,0.02087214
2.700000,0.00018293
2.800000,0.01629837
2.900000,0.01801268
3.000000,0.28681744
3.100000,-0.09898368
3.200000,-0.11736410
3.300000,-0.17426056
3.400000,0.05246840
3.500000,0.12027908
3.600000,-0.06190162
3.700000,-0.17162877
3.800000,-0.18185087
3.900000,0.03216099
4.000000,0.06271466
4.100000,0.03517957
4.200000,-0.15816983
4.300000,-0.01979524
4.400000,-0.03880993
4.500000,0.01799904
4.600000,0.11939155
4.700000,0.01770907
4.800000,0.10310711
4.900000,-0.01062550
5.000000,0.02379739
5.100000,0.09911586
5.200000,-0.21548514
5.300000,-0.06560206
5.400000,-0.09289829
5.500000,-0.10065986
5.600000,-0.04152668
5.700000,0.21397958
5.800000,-0.14829920
5.900000,0.12016082
6.000000,-0.27311702
6.100000,-0.05480096
6.200000,0.03253383
6.300000,0.10158637
6.400000,0.10441727
6.500000,0.10086018
6.600000,-0.06399165
6.700000,-0.09712131
6.800000,0.09828104
6.900000,-0.05540119
7.000000,-0.23164961
7.100000,-0.22252090
7.200000,-0.19151511
7.300000,0.02708065
7.400000,-0.01333138
7.500000,0.07622221
7.600000,-0.09049461
7.700000,-0.01152010
7.800000,0.04574662
7.900000,-0.10056444
8.000000,0.01933305
8.100000,-0.14437264
8.200000,-0.12468065
8.300000,-0.13685138
8.400000,-0.24445256
8.500000,0.00897984
8.600000,-0.15142049
8.700000,-0.05080616
8.800000,0.01914442
8.900000,0.01868410
9.000000,0.05636649
9.100000,-0.06256525
9.200000,-0.11995805
9.300000,-0.04290094
9.400000,-0.27194490
9.500000,-0.22598836
9.600000,-0.20035096
9.700000,-0.16351285
9.800000,0.06143067
9.900000,-0.14441492
10.000000,-0.06185800
10.100000,0.15013795
10.200000,-0.12261620
10.300000,0.04533023
10.400000,-0.21498895
10.500000,-0.12957194
10.600000,-0.23471230
10.700000,-0.11756299
10.800000,0.07607292
10.900000,-0.31209918
11.000000,0.01232857
11.100000,-0.00646216
11.200000,-0.11771946
11.300000,-0.24956807
11.400000,-0.02136983
11.500000,-0.10794579
11.600000,0.01308607
11.700000,-0.02007446
11.800000,0.21553353
11.900000,-0.04401866
12.000000,-0.14706569
12.100000,0.03913920
12.200000,0.06593667
12.300000,0.23223795
12.400000,0.17316219
12.500000,0.10799634
12.600000,0.31327343
12.700000,-0.09878624
