temperature_K,bit_rate_bits_per_s,Pmin_W
4.2,1000000.0,4.019370439110214e-17
4.2,1231121.7482038895,4.948334361676401e-17
4.2,1515660.7589006044,6.092002050044443e-17
4.2,1865962.923181746,7.499996213912392e-17
4.2,2297227.536071151,9.233408450394377e-17
4.2,2828166.780230035,1.1367449953330117e-16
4.2,3481817.6306889663,1.3994714859163995e-16
4.2,4286541.408420925,1.722919782302893e-16
4.2,5277254.352483532,2.1211240144038024e-16
4.2,6496942.604146125,2.6113619047700667e-16
4.2,7998527.3367967075,3.2149044333935633e-16
4.2,9847160.957933763,3.9579387663479186e-16
4.2,12123054.013376528,4.872704493310206e-16
4.2,14924955.45051829,5.998892474285008e-16
4.2,18374437.24610725,7.385366990228917e-16
4.2,22621169.304690264,9.092285920137941e-16
4.2,27849413.500806443,1.1193710937169831e-15
4.2,34286018.63556583,1.3780820977857522e-15
4.2,42210263.20156903,1.696586841394482e-15
4.2,51965973.02486197,2.08870495815729e-15
4.2,63976439.55748424,2.571450099568735e-15
4.2,78762786.11187062,3.165768142000133e-15
4.2,96966578.93145521,3.8974460093873834e-15
4.2,119377664.17144357,4.798230544607268e-15
4.2,146968438.61124474,5.907205976362213e-15
4.2,180936041.07387203,7.272489748619528e-15
4.2,222754295.19995564,8.95332029311532e-15
4.2,274237657.32649523,1.1022627331489515e-14
4.2,337619944.1111333,1.3570196230143317e-14
4.2,415651255.82259876,1.6706563706323906e-14
4.2,511717300.711461,2.0567813916609186e-14
4.2,629986297.838068,2.5321483025748134e-14
4.2,775589832.3389002,3.1173828449774226e-14
4.2,954845510.2782303,3.837877817929427e-14
4.2,1175531073.8783674,4.724894848602195e-14
4.2,1447221870.7411344,5.816920806090699e-14
4.2,1781706319.5457325,7.161337711957974e-14
4.2,2193497398.9050555,8.816478603424126e-14
4.2,2700462352.420682,1.0854158551249718e-13
4.2,3324597932.2709312,1.3362790650896722e-13
4.2,4092984818.452434,1.6451222187014599e-13
4.2,5038962625.06515,2.025345741896807e-13
4.2,6203576476.104281,2.493447190481306e-13
4.2,7637357916.378012,3.0697370641994156e-13
4.2,9402517429.670132,3.7792200610034677e-13
4.2,11575643695.53301,4.65268000834979e-13
4.2,14251026703.029963,5.728015545712893e-13
4.2,17544748908.334595,7.051884512377127e-13
4.2,21599721947.827213,8.681728389009679e-13
4.2,26591887445.126907,1.0688264631708913e-12
4.2,32737850959.48577,1.3158555038655308e-12
4.2,40304280305.68042,1.6199783283026385e-12
4.2,49619476030.028984,1.9943905515923633e-12
4.2,61087616075.05039,2.4553375824777145e-12
4.2,75206292695.92422,3.0228194969706824e-12
4.2,92588102539.73946,3.721458823615341e-12
4.2,113987226661.60526,4.5815688927981185e-12
4.2,140332153760.5482,5.640469104818167e-12
4.2,172765966466.90347,6.944104185013783e-12
4.2,212695938666.86917,8.54903768396413e-12
4.2,261854595847.4238,1.0524906218942874e-11
4.2,322374887814.90265,1.2957440943946913e-11
4.2,396882735463.71497,1.595218734716055e-11
4.2,488610967116.0316,1.9639084774512305e-11
4.2,601539588027.4833,2.4178104380722028e-11
4.2,740568469226.2441,2.976619013345068e-11
4.2,911729948498.494,3.6645804034463245e-11
4.2,1122450568085.306,4.5115446327245455e-11
4.2,1381873305653.628,5.5542607153397054e-11
4.2,1701254279852.5857,6.837971161849218e-11
4.2,2094451143151.4688,8.418375010943609e-11
4.2,2578524352884.2764,1.0364044560508855e-10
4.2,3174477409109.187,1.2759400657796647e-10
4.2,3908168177536.264,1.5708375643860498e-10
4.2,4811430839003.245,1.9338922884112898e-10
4.2,5923457145875.794,2.3808568549469326e-10
4.2,7292496916841.444,2.931124653485488e-10
4.2,8977951553033.332,3.608571307602581e-10
4.2,11052951411260.197,4.442590616734076e-10
4.2,13607528864243.33,5.469369926627862e-10
4.2,16752524724082.104,6.73346026564386e-10
4.2,20624397525140.883,8.289709373700913e-10
4.2,25391144336803.473,1.020564149625286e-09
4.2,31259590004822.84,1.2564387200409003e-09
4.2,38484361094874.25,1.5468290335278076e-09
4.2,47378933909631.44,1.904334863929291e-09
4.2,58329235942861.88,2.3444680668462405e-09
4.2,71810390925373.42,2.886325625063943e-09
4.2,88407334015250.62,3.5534182494144126e-09
4.2,108840191606900.31,4.374690487318668e-09
4.2,133995526965933.7,5.3857766005986944e-09
4.2,164964807409802.06,6.63054670396468e-09
4.2,203091762090473.06,8.163010249732519e-09
4.2,250030685190632.12,1.0049659449256987e-08
4.2,307818214256508.0,1.2372354310023026e-08
4.2,378961698064470.8,1.5231874467553445e-08
4.2,466547988223446.8,1.8752291922916622e-08
4.2,574377374882658.8,2.308635441497084e-08
4.2,707128477894298.1,2.8422113007013424e-08
4.2,870561247909985.6,3.4991081452842946e-08
4.2,1071766885445503.4,4.3078281369768796e-08
4.2,1319475521676703.2,5.30346090695687e-08
4.2,1624435010958865.5,6.529206063303741e-08
4.2,1999877270535287.0,8.038247583037953e-08
4.2,2462092401494620.5,9.896061416925354e-08
4.2,3031135501567576.0,1.2183256431938228e-07
4.2,3731696837732755.5,1.4999071957304103e-07
4.2,4594173134636467.0,1.8465683689512126e-07
4.2,5655986461065002.0,2.2733504785612262e-07
4.2,6963207939763890.0,2.798771215446452e-07
4.2,8572556731909307.0,3.445628111583153e-07
4.2,1.055386103036523e+16,4.241987704392727e-07
4.2,1.2993087842004172e+16,5.222403318491389e-07
4.2,1.599607301861491e+16,6.429414303286926e-07
4.2,1.9693113379074136e+16,7.915391776989644e-07
4.2,2.424462017082321e+16,9.744810962206203e-07
4.2,2.9848079169243212e+16,1.1997048707707752e-06
4.2,3.674661940736688e+16,1.4769827578320413e-06
4.2,4.523956232538058e+16,1.8183455948891881e-06
4.2,5.5695409058001016e+16,2.2386048076188052e-06
4.2,6.8567829366417656e+16,2.7559950642933235e-06
4.2,8.441534596012958e+16,3.392965461594067e-06
4.2,1.039255682936711e+17,4.177153570673114e-06
4.2,1.2794502732078734e+17,5.142584606443213e-06
4.2,1.5751590570916115e+17,6.331147750970741e-06
4.2,1.939212572065835e+17,7.794413687312302e-06
4.2,2.387406771860637e+17,9.595872204948188e-06
4.2,2.939188398646878e+17,1.1813686964496949e-05
4.2,3.6184987596427424e+17,1.4544086948465014e-05
4.2,4.454812518844988e+17,1.790554175002366e-05
4.2,5.484416576121026e+17,2.2043901861826903e-05
4.2,6.751984523072466e+17,2.7138726997367146e-05
4.2,8.312514989890666e+17,3.3411077025027086e-05
4.2,1.0233717986325171e+18,4.11331035564259e-05
4.2,1.259895277795026e+18,5.0639858359438785e-05
4.2,1.5510844769528404e+18,6.234383095226974e-05
4.2,1.9095738328780849e+18,7.675284615168562e-05
4.2,2.350917875457294e+18,9.449209813388835e-05
4.2,2.8942661247167396e+18,0.00011633127704604539
4.2,3.563193971228577e+18,0.00014321796516771873
4.2,4.386725591048494e+18,0.000176318751651486
4.2,5.400593278542374e+18,0.00021706984977430533
4.2,6.648787838417277e+18,0.000267239412936499
4.2,8.185467307068987e+18,0.00032900425324336176
4.2,1.0077306820944577e+19,0.00040504429141948356
4.2,1.2406391590588293e+19,0.0004986588361523613
4.2,1.5273778503907123e+19,0.0006139097381212132
