beta_var,logBF10
10.0,-4.435952121970331
13.14147362611756,-4.575752911012387
17.26983290659435,-4.715845941922453
22.695105366946684,-4.85612509726343
29.82471286216891,-4.996463052244508
39.19406774847219,-5.136718221350748
51.50678076168121,-5.276766751812829
67.68750009458533,-5.416509928705636
88.95134973108236,-5.555885988414957
116.89518164985776,-5.694869374186965
153.6174946671828,-5.833471873691451
201.87602546790387,-5.971710705754958
265.29484644318944,-6.10964047422749
348.63652276780874,-6.247298644830153
458.1597669054491,-6.384737560085341
602.0894493336131,-6.521989383963955
791.2342618981326,-6.659098044037819
1039.79841848149,-6.796086302299955
1366.4483492953257,-6.932985963456304
1795.7144943716407,-7.069820011496631
2359.8334667821937,-7.206591709615168
3101.1689265747787,-7.343322298391286
4075.392965871778,-7.480024082309683
5355.666917706902,-7.61669766936393
7038.135554931554,-7.7533521846926305
9249.147277217335,-7.889990566513006
12154.742500762884,-8.026622624376614
15973.122800602525,-8.163243362163485
20991.037201085543,-8.299857062225783
27585.316176291868,-8.43647171176417
36251.17049988535,-8.573078053253994
47639.38010401341,-8.709674943529535
62605.16572014828,-8.846279989898903
82272.41341700473,-8.982879338844214
108118.07510766077,-9.119480612604093
142083.08325339237,-9.256071997438994
186718.10912919207,-9.392674760631053
245375.11066398167,-9.529267448884639
322459.0545296398,-9.665860873268684
423758.71606040635,-9.802458683283476
556881.3990945267,-9.939048728501803
731824.2219076181,-10.075646803918062
961724.8711152964,-10.212241182431171
1263848.202934297,-10.348838641497423
1660882.7826277164,-10.485433110276063
2182644.728397487,-10.622024225223868
2868316.813342015,-10.758621108579973
3769390.9753883635,-10.895208286168781
4953535.20895917,-11.031806129976758
6509675.230458177,-11.168397891451605
8554672.535565684,-11.304994842721499
11242100.350620862,-11.44158876365691
14773776.525985127,-11.578181414970459
19414919.457438815,-11.714777382963803
25514065.200312875,-11.85136824140136
33529241.4924956,-11.987964742060285
44062364.277735725,-12.124560762469628
57904439.80602483,-12.26114939727995
76094966.85459884,-12.39774813166514
100000000.0,-12.534345867941738
